id,status_code,status_label
sout2992,2,threatened
sihu1235,2,threatened
coro1247,2,threatened
sant1433,4,moribund
marg1254,2,threatened
pana1306,4,moribund
kali1308,4,moribund
spok1245,6,extinct
snoh1241,5,nearly extinct
skag1239,5,nearly extinct
kemb1235,2,threatened
aran1237,2,threatened
peve1243,1,not endangered
masa1322,1,not endangered
gize1234,1,not endangered
hama1241,3,shifting
muse1242,1,not endangered
marb1239,1,not endangered
zuma1239,6,extinct
kwan1285,1,not endangered
kera1255,1,not endangered
gada1262,3,shifting
mawa1270,3,shifting
ubii1238,2,threatened
bare1279,3,shifting
saka1296,3,shifting
duwa1244,1,not endangered
diri1259,5,nearly extinct
haus1257,1,not endangered
gwan1268,2,threatened
gudu1250,1,not endangered
ngwa1251,2,threatened
mafa1239,1,not endangered
mbed1242,1,not endangered
mina1276,1,not endangered
hyaa1239,4,moribund
psik1239,1,not endangered
vemg1240,1,not endangered
lama1288,2,threatened
hdii1240,1,not endangered
musk1256,6,extinct
bald1241,6,extinct
budu1265,2,threatened
stan1324,1,not endangered
ghom1257,3,shifting
senh1238,2,threatened
tuni1262,2,threatened
sene1271,6,extinct
tidi1241,3,shifting
tazn1238,2,threatened
tumz1238,2,threatened
hwar1238,5,nearly extinct
bili1260,2,threatened
xamt1239,1,not endangered
afar1241,1,not endangered
saho1246,1,not endangered
buru1320,3,shifting
tigr1270,2,threatened
daha1247,3,shifting
anci1245,6,extinct
qata1238,6,extinct
mina1279,6,extinct
hadr1235,6,extinct
saba1279,6,extinct
sheh1240,3,shifting
soqo1240,3,shifting
hoby1242,3,shifting
susu1250,1,not endangered
yalu1240,1,not endangered
libe1247,1,not endangered
guin1254,1,not endangered
kono1267,1,not endangered
hain1253,1,not endangered
sini1242,3,shifting
soni1259,1,not endangered
jowu1238,1,not endangered
sout2840,1,not endangered
nort2819,1,not endangered
gagu1242,1,not endangered
mwan1250,1,not endangered
wann1242,1,not endangered
gbin1239,6,extinct
maty1235,2,threatened
maya1281,1,not endangered
sout2844,1,not endangered
wutu1244,3,shifting
vani1248,2,threatened
bilm1238,1,not endangered
tuma1248,1,not endangered
cent2050,1,not endangered
solo1263,3,shifting
ghod1238,3,shifting
botl1242,3,shifting
tind1238,3,shifting
bagv1239,3,shifting
akhv1239,3,shifting
sout3319,3,shifting
hunz1247,3,shifting
bezh1248,3,shifting
dido1241,3,shifting
hinu1240,3,shifting
khva1239,3,shifting
budu1248,3,shifting
kryt1240,3,shifting
rutu1240,2,threatened
tsak1249,2,threatened
orow1243,5,nearly extinct
wari1268,3,shifting
iban1261,2,threatened
kala1381,1,not endangered
kiri1254,1,not endangered
bise1238,3,shifting
okod1238,3,shifting
swam1239,2,threatened
nort1552,2,threatened
wood1236,2,threatened
moos1236,2,threatened
