call_sign,facility_id,service,licensee,status,details
KFAI,22630,FM,"FRESH AIR, INC.",LICENSED,Click for Details
KFBK-FM,60300,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KFBT,48776,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KFBW,60640,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KFBZ,53153,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KFDI-FM,72357,FM,"SM-KFDI, LLC",LICENSED,Click for Details
KFFF,163,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KFJM,69406,FM,"PRAIRIE PUBLIC BROADCASTING, INC.",LICENSED,Click for Details
KFLO-FM,84100,FM,FAMILY LIFE EDUCATIONAL FOUNDATION,LICENSED,Click for Details
KFLR-FM,20638,FM,"FAMILY LIFE BROADCASTING, INC.",LICENSED,Click for Details
KFLT-FM,20403,FM,"FAMILY LIFE BROADCASTING, INC.",LICENSED,Click for Details
KFMK,3222,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KFNC,52407,FM,"GOW MEDIA, LLC",LICENSED,Click for Details
KFOO-FM,60422,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KFRC-FM,20897,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KFRG,1241,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KFRH,19062,FM,Silver State Broadcasting LLC - Debtor in Possession,LICENSED AND SILENT,Click for Details
KFSK,47409,FM,NARROWS BROADCASTING CORP.,LICENSED,Click for Details
KFSO-FM,2099,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KFTK-FM,73890,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KFXN-FM,54458,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KGAC,42944,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KGB-FM,34454,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KGGI,10135,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KGHF,15410,FM,"LA RAZA, LLC",LICENSED,Click for Details
KGHT,162386,FM,Roaring Fork Broadcasting Company LLC,LICENSED,Click for Details
KGJX,190448,FM,"GRAND JUNCTION MEDIA, INC.",LICENSED,Click for Details
KGLK,59951,FM,"CMG NY/TEXAS RADIO, LLC",LICENSED,Click for Details
KGLP,23052,FM,GALLUP PUBLIC RADIO,LICENSED,Click for Details
KGMZ-FM,25446,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KGNT,38274,FM,"FRANDSEN MEDIA COMPANY, LLC",LICENSED,Click for Details
KGNU-FM,6512,FM,"BOULDER COMMUNITY BROADCAST ASSOCIATION, INC.",LICENSED,Click for Details
KGON,2432,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KGOR,26928,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KGOT,12515,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KGRG-FM,25168,FM,GREEN RIVER COLLEGE,LICENSED,Click for Details
KGRP,172671,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KGSR,23604,FM,"WATERLOO MEDIA GROUP, L.P.",LICENSED,Click for Details
KHCC-FM,28158,FM,HUTCHINSON COMMUNITY COLLEGE,LICENSED,Click for Details
KHCD,28156,FM,HUTCHINSON COMMUNITY COLLEGE,LICENSED,Click for Details
KHCT,28157,FM,HUTCHINSON COMMUNITY COLLEGE,LICENSED,Click for Details
KHDC,54497,FM,"RADIO BILINGUE, INC.",LICENSED,Click for Details
KHEY-FM,69563,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KHFI-FM,11948,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KHGE,48777,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KHHK,36031,FM,"SMG-YAKIMA, LLC",LICENSED,Click for Details
KHID,56082,FM,"RELEVANT RADIO, INC.",LICENSED,Click for Details
KHJK,48676,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KHKE,69027,FM,UNIVERSITY OF NORTHERN IOWA,LICENSED,Click for Details
KHKN,61366,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KHKS,23084,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KHKZ,36166,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KHMX,47749,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KHNE-FM,47964,FM,NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION,LICENSED,Click for Details
KHNS,39331,FM,LYNN CANAL BROADCASTING,LICENSED,Click for Details
KHOP,52528,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
