individual,year,year_recode,season,locality,sex,body_mass_grams,body_condition_index,straight_carapace_length_mm
1116,2015,8,Summer,Plateau,m,1344,7.111111111,189
1116,2016,9,Summer,Plateau,m,1326,7.167567568,185
1116,2017,10,Spring,Plateau,m,1342,7.254054054,185
1116,2017,10,Summer,Plateau,m,1287,6.994565217,184
1116,2019,12,Spring,Plateau,m,1316,7.113513514,185
1117,2009,2,Spring,Plateau,m,946,5.735071234,164.95
1117,2010,3,Spring,Plateau,m,963,5.75543868,167.32
1118,2009,2,Spring,Plateau,f,990,5.847953216,169.29
1119,2009,2,Spring,Plateau,m,1042,5.785674625,180.1
1119,2009,2,Summer,Plateau,m,1267,7.042801556,179.9
1120,2009,2,Spring,Plateau,m,1186,6.562638336,180.72
1120,2011,4,Summer,Plateau,m,1142,6.206521739,184
1120,2011,4,Spring,Plateau,m,1252,6.815459989,183.7
1120,2013,6,Spring,Plateau,m,1303.5,6.993025751,186.4
1120,2016,9,Spring,Plateau,m,1353,7.274193548,186
1120,2017,10,Summer,Plateau,m,1235,6.639784946,186
1120,2018,11,Summer,Plateau,m,1411,7.545454545,187
1120,2019,12,Spring,Plateau,m,1304,7.010752688,186
1121,2009,2,Spring,Plateau,f,1088,5.924635156,183.64
1121,2016,9,Summer,Plateau,f,1281,6.637305699,193
