Year,Sex,Name,Number,Rank
1998,Girl,Misha,43,597
1998,Girl,Mishal,6,2407
1998,Girl,Misti,3,3848
1998,Girl,Misty,7,2165
1998,Girl,Miya,15,1259
1998,Girl,Miyah,4,3142
1998,Girl,Mobeen,4,3142
1998,Girl,Moesha,34,701
1998,Girl,Mohima,14,1319
1998,Girl,Mohini,4,3142
1998,Girl,Moira,3,3848
1998,Girl,Molli,8,1979
1998,Girl,Mollie,760,73
1998,Girl,Mollie-Jo,4,3142
1998,Girl,Mollie-May,5,2701
1998,Girl,Molly,2413,24
1998,Girl,Molly-Ann,11,1571
1998,Girl,Molly-Anne,11,1571
1998,Girl,Molly-Mae,4,3142
1998,Girl,Molly-May,9,1823
1998,Girl,Molly-Rose,3,3848
1998,Girl,Momena,4,3142
1998,Girl,Momina,9,1823
1998,Girl,Mona,14,1319
1998,Girl,Monai,4,3142
1998,Girl,Monet,14,1319
1998,Girl,Monica,136,278
1998,Girl,Monika,25,869
1998,Girl,Monique,111,322
1998,Girl,Monira,3,3848
1998,Girl,Monisha,10,1697
1998,Girl,Montana,33,717
1998,Girl,Montanna,7,2165
1998,Girl,Morag,6,2407
1998,Girl,Morenike,4,3142
1998,Girl,Morgan,563,93
1998,Girl,Morgan-Leigh,3,3848
1998,Girl,Morgana,3,3848
1998,Girl,Morganna,4,3142
1998,Girl,Morganne,3,3848
1998,Girl,Morgen,11,1571
1998,Girl,Morna,3,3848
1998,Girl,Morrigan,5,2701
1998,Girl,Morven,3,3848
1998,Girl,Morwenna,28,801
1998,Girl,Motunrayo,3,3848
1998,Girl,Moushumi,3,3848
1998,Girl,Moya,7,2165
1998,Girl,Moyosoreoluwa,5,2701
1998,Girl,Mumina,6,2407
1998,Girl,Muminah,8,1979
1998,Girl,Muna,32,724
1998,Girl,Muneeba,7,2165
1998,Girl,Muneebah,5,2701
1998,Girl,Muniba,3,3848
1998,Girl,Munibah,3,3848
1998,Girl,Munira,11,1571
1998,Girl,Musammad,4,3142
1998,Girl,Musammat,4,3142
1998,Girl,Musammath,4,3142
1998,Girl,Musammod,4,3142
1998,Girl,Musammoth,3,3848
1998,Girl,Mussammat,4,3142
1998,Girl,Mya,43,597
1998,Girl,Myah,11,1571
1998,Girl,Myesha,4,3142
1998,Girl,Myra,6,2407
1998,Girl,Myrah,3,3848
1998,Girl,Myriam,3,3848
1998,Girl,Myrtle,3,3848
1998,Girl,Naadia,3,3848
1998,Girl,Nabeela,16,1211
1998,Girl,Nabeelah,8,1979
1998,Girl,Nabiha,5,2701
1998,Girl,Nabihah,6,2407
1998,Girl,Nabila,15,1259
1998,Girl,Nabilah,13,1392
1998,Girl,Nada,16,1211
1998,Girl,Nadia,298,154
1998,Girl,Nadina,4,3142
1998,Girl,Nadine,119,302
1998,Girl,Nadira,10,1697
1998,Girl,Nadiya,11,1571
1998,Girl,Nadiyah,13,1392
1998,Girl,Nadya,10,1697
1998,Girl,Naeema,9,1823
1998,Girl,Naeemah,4,3142
1998,Girl,Naema,3,3848
1998,Girl,Nafeesa,38,649
1998,Girl,Nafeesah,6,2407
1998,Girl,Nafisa,25,869
1998,Girl,Nafisah,16,1211
1998,Girl,Nagina,5,2701
1998,Girl,Naheda,3,3848
1998,Girl,Nahida,8,1979
1998,Girl,Nahima,5,2701
1998,Girl,Naila,19,1076
1998,Girl,Nailah,12,1480
1998,Girl,Naima,20,1036
1998,Girl,Naimah,13,1392
1998,Girl,Naina,5,2701
1998,Girl,Naiomi,4,3142
1998,Girl,Najah,5,2701
1998,Girl,Najiba,4,3142
1998,Girl,Najiyah,3,3848
1998,Girl,Najma,21,995
1998,Girl,Najwa,4,3142
1998,Girl,Nakisha,5,2701
1998,Girl,Nakita,26,846
1998,Girl,Nalisha,3,3848
1998,Girl,Namra,4,3142
1998,Girl,Namrata,3,3848
1998,Girl,Nan,3,3848
1998,Girl,Nana,21,995
1998,Girl,Nancy,121,300
1998,Girl,Nandini,5,2701
1998,Girl,Naomi,574,91
1998,Girl,Naomie,4,3142
1998,Girl,Nardia,3,3848
1998,Girl,Nareece,5,2701
1998,Girl,Nargis,3,3848
1998,Girl,Naseema,7,2165
1998,Girl,Nasima,5,2701
1998,Girl,Nasira,3,3848
1998,Girl,Nasra,9,1823
1998,Girl,Nasreen,10,1697
1998,Girl,Nasrin,7,2165
1998,Girl,Nastassja,7,2165
1998,Girl,Natacha,6,2407
1998,Girl,Natalee,3,3848
1998,Girl,Natalia,116,310
1998,Girl,Natalie,1082,51
1998,Girl,Nataliya,3,3848
1998,Girl,Natalka,4,3142
1998,Girl,Natalya,50,542
1998,Girl,Natascha,8,1979
1998,Girl,Natasha,1542,37
1998,Girl,Natashia,5,2701
1998,Girl,Natasja,7,2165
1998,Girl,Natassia,4,3142
1998,Girl,Natassja,9,1823
1998,Girl,Nathalie,24,898
1998,Girl,Nathania,3,3848
1998,Girl,Natisha,4,3142
1998,Girl,Navdeep,4,3142
1998,Girl,Navina,4,3142
1998,Girl,Navjot,5,2701
1998,Girl,Navneet,7,2165
1998,Girl,Navpreet,6,2407
1998,Girl,Nawal,17,1165
1998,Girl,Nayaab,10,1697
1998,Girl,Nayeema,8,1979
1998,Girl,Nayla,3,3848
1998,Girl,Nazia,27,817
1998,Girl,Nazifa,25,869
1998,Girl,Nazihah,3,3848
1998,Girl,Nazira,3,3848
1998,Girl,Nazirah,3,3848
1998,Girl,Nazish,12,1480
1998,Girl,Nazli,3,3848
1998,Girl,Nazma,4,3142
1998,Girl,Nazmeen,4,3142
1998,Girl,Nazmin,18,1122
1998,Girl,Nazneen,8,1979
1998,Girl,Nazreen,5,2701
1998,Girl,Nea,3,3848
1998,Girl,Neamh,4,3142
1998,Girl,Neave,34,701
