ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Екомаркет,0,0,0,2,0,0,0,0,2,48,2487
Мегамаркет,0,0,0,2,0,0,0,0,2,48,2487
"Маренго, Виробник Коблево",0,0,0,2,0,0,0,0,2,48,2487
Picnin,0,0,0,2,0,0,0,0,2,48,2487
Росинка,0,0,0,2,0,0,0,0,2,48,2487
Radler,0,0,0,2,0,0,0,0,2,48,2487
Solan De Cabras,0,0,0,0,2,0,0,0,2,48,2487
Rimi,0,0,0,0,2,0,0,0,2,48,2487
Piebalga,0,0,0,2,0,0,0,0,2,48,2487
Lotte Corporation (E.Wedel),0,0,0,2,0,0,0,0,2,48,2487
Lotus,0,0,0,2,0,0,0,0,2,48,2487
Puma,0,0,0,2,0,0,0,0,2,48,2487
Protein,0,0,0,0,0,2,0,0,2,48,2487
Круїз,0,0,0,2,0,0,0,0,2,48,2487
Львівська Горілка,0,0,0,2,0,0,0,0,2,48,2487
Prince,0,0,0,2,0,0,0,0,2,48,2487
Repsol Liquido Frenos,0,2,0,0,0,0,0,0,2,48,2487
Львівське Експортове,0,0,0,2,0,0,0,0,2,48,2487
Linsoft,0,0,0,2,0,0,0,0,2,48,2487
"Люкс, Mondelēz International",0,0,0,2,0,0,0,0,2,48,2487
Livu Sencu,0,0,0,2,0,0,0,0,2,48,2487
Люксоптика,0,1,0,1,0,0,0,0,2,48,2487
Biscuit,0,0,2,0,0,0,0,0,2,48,2487
Розпилювач Нвп Артхім,0,0,0,0,2,0,0,0,2,48,2487
Revlon,0,0,0,2,0,0,0,0,2,48,2487
"Грінки ""Хліб Трейд""",0,0,0,2,0,0,0,0,2,48,2487
Lolita,0,0,0,2,0,0,0,0,2,48,2487
Лідер Смаку,0,0,0,2,0,0,0,0,2,48,2487
Ласунка,0,0,0,2,0,0,0,0,2,48,2487
Buvette,0,0,0,2,0,0,0,0,2,48,2487
Aitschler,0,0,0,0,0,2,0,0,2,48,2487
Pizza Box,0,0,0,2,0,0,0,0,2,48,2487
Malbe Foods,0,0,0,2,0,0,0,0,2,48,2487
Каберне Агродар,0,0,0,2,0,0,0,0,2,48,2487
Peñaclara,0,2,0,0,0,0,0,0,2,48,2487
Malbuner,0,0,0,2,0,0,0,0,2,48,2487
Mimiso,0,0,0,2,0,0,0,0,2,48,2487
Open,0,0,0,2,0,0,0,0,2,48,2487
Mini Rolada,0,0,0,0,0,2,0,0,2,48,2487
Sadochok,0,0,0,2,0,0,0,0,2,48,2487
Salateira,0,0,0,2,0,0,0,0,2,48,2487
Посуд Делюкс,0,0,1,1,0,0,0,0,2,48,2487
Невідомо Оболонь,0,0,0,0,2,0,0,0,2,48,2487
Carnitine,0,0,0,0,2,0,0,0,2,48,2487
Mlekovita,0,0,0,2,0,0,0,0,2,48,2487
Sherwood,0,0,0,2,0,0,0,0,2,48,2487
Appelsientje,0,0,0,2,0,0,0,0,2,48,2487
San Benedetto,0,0,0,0,2,0,0,0,2,48,2487
Нова Пошта,0,0,1,1,0,0,0,0,2,48,2487
Arsenal,0,0,0,0,2,0,0,0,2,48,2487
Кефір Яготинський,0,0,0,2,0,0,0,0,2,48,2487
Seni (Тов Белла-Трейд),0,0,0,2,0,0,0,0,2,48,2487
Carre,0,0,0,2,0,0,0,0,2,48,2487
Пиво Krušovice (Heineken),0,0,0,2,0,0,0,0,2,48,2487
Ner Aroma,0,0,0,2,0,0,0,0,2,48,2487
Carrefour Ensalada,0,0,0,2,0,0,0,0,2,48,2487
Nectar,0,0,0,1,1,0,0,0,2,48,2487
Nash Sik,0,0,0,2,0,0,0,0,2,48,2487
Nasa Marka,0,0,0,0,2,0,0,0,2,48,2487
Musli Bar,0,0,0,0,0,2,0,0,2,48,2487
Multifrutas Gourmet,0,0,0,2,0,0,0,0,2,48,2487
Milchschnitte,0,0,0,2,0,0,0,0,2,48,2487
Migros Group,0,0,0,1,0,1,0,0,2,48,2487
Optimel,0,0,0,2,0,0,0,0,2,48,2487
Простоквашино(Danone),0,0,0,2,0,0,0,0,2,48,2487
Malteser,0,0,0,2,0,0,0,0,2,48,2487
Котовський Винзавод,0,0,0,2,0,0,0,0,2,48,2487
Bralis,0,0,0,2,0,0,0,0,2,48,2487
Молоко Сгущене(Первомайск),0,0,0,2,0,0,0,0,2,48,2487
Maretti,0,0,1,1,0,0,0,0,2,48,2487
Живчик (Оболонь),0,0,0,2,0,0,0,0,2,48,2487
Patatas Lays,0,0,0,2,0,0,0,0,2,48,2487
Snikers,0,0,0,0,0,2,0,0,2,48,2487
Roshette,0,0,0,2,0,0,0,0,2,48,2487
Maxima,0,0,0,1,0,1,0,0,2,48,2487
Smile (Тов Кпд),0,0,0,2,0,0,0,0,2,48,2487
Море Пива,0,0,0,2,0,0,0,0,2,48,2487
Cesu Dzons,0,0,0,2,0,0,0,0,2,48,2487
Мрія,0,0,0,2,0,0,0,0,2,48,2487
Bocmanis,0,0,0,2,0,0,0,0,2,48,2487
Parle,0,0,0,2,0,0,0,0,2,48,2487
Melnik,0,0,0,2,0,0,0,0,2,48,2487
Мій Магазин,0,1,0,1,0,0,0,0,2,48,2487
Palomitas Grefusa,0,0,0,2,0,0,0,0,2,48,2487
Rufinos,0,0,0,2,0,0,0,0,2,48,2487
Мінське Жигулівське,0,0,0,0,2,0,0,0,2,48,2487
Merci,0,0,0,2,0,0,0,0,2,48,2487
Orange Soda,0,0,0,2,0,0,0,0,2,48,2487
Metro,0,0,0,2,0,0,0,0,2,48,2487
Сир Auchan,0,0,0,2,0,0,0,0,2,48,2487
Dinamit Free,0,0,0,2,0,0,0,0,2,48,2487
Tio,0,0,0,2,0,0,0,0,2,48,2487
Isotonic,0,0,0,2,0,0,0,0,2,48,2487
Hema,0,0,0,2,0,0,0,0,2,48,2487
"Тм Біленька, Виробник Прайм",0,0,0,2,0,0,0,0,2,48,2487
Cortes,0,0,0,1,1,0,0,0,2,48,2487
Hit,0,0,0,2,0,0,0,0,2,48,2487
Три Ведмеді,0,0,0,2,0,0,0,0,2,48,2487
Holi Energy,0,0,0,2,0,0,0,0,2,48,2487
Fisherman's Friend,0,0,0,2,0,0,0,0,2,48,2487
Trojka,0,0,0,2,0,0,0,0,2,48,2487
Ice Tea,0,0,0,0,0,2,0,0,2,48,2487
Figaro,0,0,0,2,0,0,0,0,2,48,2487
Delicomat,0,0,0,2,0,0,0,0,2,48,2487
Indijski Oreščki,0,0,0,0,0,2,0,0,2,48,2487
Torreznos Lidl,0,0,0,2,0,0,0,0,2,48,2487
"Барні, Mondelēz International",0,0,0,2,0,0,0,0,2,48,2487
Yves Rocher,0,0,0,2,0,0,0,0,2,48,2487
"Тм ""Їжнаше"" (Кондитерская Фабрика ""Укркорн"")",0,0,0,2,0,0,0,0,2,48,2487
Флінт,0,0,0,2,0,0,0,0,2,48,2487
Jaffa Vital(Vitmark),0,0,0,2,0,0,0,0,2,48,2487
"Fantasy (Тов ""Чиста Планета"")",0,0,0,2,0,0,0,0,2,48,2487
Develey,0,0,0,2,0,0,0,0,2,48,2487
X Sour,0,0,0,0,0,2,0,0,2,48,2487
Jefto,0,0,0,2,0,0,0,0,2,48,2487
Фоп Тарасинська,0,0,0,2,0,0,0,0,2,48,2487
Tictac,0,0,0,1,0,1,0,0,2,48,2487
A.S. Watson Group,0,1,0,1,0,0,0,0,2,48,2487
Фрекен Бок (Тов Кпд),0,0,0,2,0,0,0,0,2,48,2487
7Days,0,0,0,0,0,2,0,0,2,48,2487
Хлібні Технології,0,0,0,2,0,0,0,0,2,48,2487
"Тм Десна, Виробник Одеський Коньячний Завод",0,0,0,2,0,0,0,0,2,48,2487
Heets (Philip Morris),0,0,0,2,0,0,0,0,2,48,2487
Cream Banana,0,0,0,0,0,0,2,0,2,48,2487
