yearofbirth,sex,age,percentile,dx,ex,llx,lx,mx,px,qx,sx
1876,female,55,95,683,22.4,60913,61255,0.0112,0.9888,0.0112,0.9894
1876,female,55,median,683,22.4,60913,61255,0.0112,0.9888,0.0112,0.9894
1876,female,56,5,611,21.6,60266,60571,0.0101,0.9899,0.0101,0.9898
1876,female,56,95,611,21.6,60266,60571,0.0101,0.9899,0.0101,0.9898
1876,female,56,median,611,21.6,60266,60571,0.0101,0.9899,0.0101,0.9898
1876,female,57,5,618,20.9,59652,59961,0.0104,0.9897,0.0103,0.9891
1876,female,57,95,618,20.9,59652,59961,0.0104,0.9897,0.0103,0.9891
1876,female,57,median,618,20.9,59652,59961,0.0104,0.9897,0.0103,0.9891
1876,female,58,5,687,20.1,58999,59343,0.0117,0.9884,0.0116,0.9877
1876,female,58,95,687,20.1,58999,59343,0.0117,0.9884,0.0116,0.9877
1876,female,58,median,687,20.1,58999,59343,0.0117,0.9884,0.0116,0.9877
1876,female,59,5,763,19.3,58274,58655,0.0131,0.987,0.013,0.9856
1876,female,59,95,763,19.3,58274,58655,0.0131,0.987,0.013,0.9856
1876,female,59,median,763,19.3,58274,58655,0.0131,0.987,0.013,0.9856
1876,female,60,5,914,18.5,57435,57892,0.0159,0.9842,0.0158,0.9849
1876,female,60,95,914,18.5,57435,57892,0.0159,0.9842,0.0158,0.9849
1876,female,60,median,914,18.5,57435,57892,0.0159,0.9842,0.0158,0.9849
1876,female,61,5,821,17.8,56568,56978,0.0145,0.9856,0.0144,0.9835
1876,female,61,95,821,17.8,56568,56978,0.0145,0.9856,0.0144,0.9835
1876,female,61,median,821,17.8,56568,56978,0.0145,0.9856,0.0144,0.9835
1876,female,62,5,1041,17.1,55637,56157,0.0187,0.9815,0.0185,0.9807
1876,female,62,95,1041,17.1,55637,56157,0.0187,0.9815,0.0185,0.9807
1876,female,62,median,1041,17.1,55637,56157,0.0187,0.9815,0.0185,0.9807
1876,female,63,5,1111,16.4,54561,55117,0.0204,0.9798,0.0202,0.9787
1876,female,63,95,1111,16.4,54561,55117,0.0204,0.9798,0.0202,0.9787
1876,female,63,median,1111,16.4,54561,55117,0.0204,0.9798,0.0202,0.9787
1876,female,64,5,1213,15.7,53399,54005,0.0227,0.9775,0.0225,0.9758
1876,female,64,95,1213,15.7,53399,54005,0.0227,0.9775,0.0225,0.9758
1876,female,64,median,1213,15.7,53399,54005,0.0227,0.9775,0.0225,0.9758
1876,female,65,5,1377,15.1,52104,52792,0.0264,0.9739,0.0261,0.974
1876,female,65,95,1377,15.1,52104,52792,0.0264,0.9739,0.0261,0.974
1876,female,65,median,1377,15.1,52104,52792,0.0264,0.9739,0.0261,0.974
1876,female,66,5,1336,14.5,50747,51415,0.0263,0.974,0.026,0.9725
1876,female,66,95,1336,14.5,50747,51415,0.0263,0.974,0.026,0.9725
1876,female,66,median,1336,14.5,50747,51415,0.0263,0.974,0.026,0.9725
1876,female,67,5,1458,13.8,49350,50079,0.0295,0.9709,0.0291,0.9714
1876,female,67,95,1458,13.8,49350,50079,0.0295,0.9709,0.0291,0.9714
1876,female,67,median,1458,13.8,49350,50079,0.0295,0.9709,0.0291,0.9714
1876,female,68,5,1360,13.2,47941,48622,0.0284,0.972,0.028,0.9691
1876,female,68,95,1360,13.2,47941,48622,0.0284,0.972,0.028,0.9691
1876,female,68,median,1360,13.2,47941,48622,0.0284,0.972,0.028,0.9691
1876,female,69,5,1602,12.6,46460,47261,0.0345,0.9661,0.0339,0.9659
1876,female,69,95,1602,12.6,46460,47261,0.0345,0.9661,0.0339,0.9659
1876,female,69,median,1602,12.6,46460,47261,0.0345,0.9661,0.0339,0.9659
1876,female,70,5,1566,12,44876,45659,0.0349,0.9657,0.0343,0.9671
1876,female,70,95,1566,12,44876,45659,0.0349,0.9657,0.0343,0.9671
1876,female,70,median,1566,12,44876,45659,0.0349,0.9657,0.0343,0.9671
1876,female,71,5,1387,11.4,43399,44093,0.032,0.9685,0.0315,0.9638
1876,female,71,95,1387,11.4,43399,44093,0.032,0.9685,0.0315,0.9638
1876,female,71,median,1387,11.4,43399,44093,0.032,0.9685,0.0315,0.9638
1876,female,72,5,1753,10.8,41829,42705,0.0419,0.959,0.041,0.9574
1876,female,72,95,1753,10.8,41829,42705,0.0419,0.959,0.041,0.9574
1876,female,72,median,1753,10.8,41829,42705,0.0419,0.959,0.041,0.9574
1876,female,73,5,1809,10.2,40048,40952,0.0452,0.9558,0.0442,0.9536
1876,female,73,95,1809,10.2,40048,40952,0.0452,0.9558,0.0442,0.9536
1876,female,73,median,1809,10.2,40048,40952,0.0452,0.9558,0.0442,0.9536
1876,female,74,5,1904,9.7,38191,39143,0.0499,0.9513,0.0487,0.9466
1876,female,74,95,1904,9.7,38191,39143,0.0499,0.9513,0.0487,0.9466
1876,female,74,median,1904,9.7,38191,39143,0.0499,0.9513,0.0487,0.9466
