Company,Pride Event Sponsored,"Sponsorship Amount, where available",Year,Source,True donor value
T mobile,Miami Pride,Diamond Sponsors,2021,https://www.miamibeachpride.com/sponsor,T Mobile/Sprint
Taimi,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Taimi
Target,NYC Pride,Platinum Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Target
Target,Houston Pride,Additional,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Target
TD Bank,NYC Pride,Platinum Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,TD Bank
TD Bank,Miami Pride,Platinum Partners,2021,https://www.miamibeachpride.com/sponsor,TD Bank
Telemundo 51,Miami Pride,Media Partners,2021,https://www.miamibeachpride.com/sponsor,NBC
The Ali Forney Center,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
The Breeze 98.1 FM,SF Pride,Media Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,iHeart Media
The Cathedral Church of Saint John the Divine,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
The Commonwealth Club,SF Pride,Community Partners,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,The Commonwealth Club
The Hartford,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,"The Hartford Financial Services Group, Inc."
The LGBT Community Center,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
The Met,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
the Montrose Center,Houston Pride,Gold,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,NA
The Public,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
the Stranger,Seattle Pridefest,Media and Community Sponsors,2022,https://www.seattlepridefest.org/sponsors/,"Index Newspapers, LLC"
the trevor project,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
The University of Texas MD Anderson Cancer Center,Houston Pride,Bronze,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,NA
The Wanda Alston Foundation,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
The Woodlands Pride,Houston Pride,Additional,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,NA
Tobacco Free Florida,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Toyota Mirai,LA Pride,Hero Sponsor,2022,https://lapride.org/2022-sponsors/,Toyota
Tribeca,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Truist,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Truist
Trulieve,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Trulieve
ubc,NYC Pride,Bronze media sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Uber,Houston Pride,Bronze,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Uber
UCB,Atlanta Pride,Silver,2021,https://www.atlantapride.org/our_partners/,UCB Pharmaceuticals
UPS,Atlanta Pride,Gold Sponsors,2021,https://www.atlantapride.org/our_partners/,UPS
US Bank,SF Pride,Celebretory Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,US Bank
US Bank,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,US Bank
Vesey,SF Pride,Supporting Partners,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,NA
Victory Fund,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Virginia Mason Franciscan Health,Seattle Pridefest,Platinum Sponsors,2022,https://www.seattlepridefest.org/sponsors/,NA
Vizzy Hard Seltzer,Miami Pride,Diamond Sponsors,2021,https://www.miamibeachpride.com/sponsor,MillerCoors
VM inclusion pride,Atlanta Pride,Bronze,2021,https://www.atlantapride.org/our_partners/,NA
W Hotels of New York,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Marriott
W Seattle Official Hotel of Pridefest,Seattle Pridefest,Gold Sponsors,2022,https://www.seattlepridefest.org/sponsors/,Marriott
Walgreens,Houston Pride,Silver,2022,https://pridehouston.org/pride-sponsors/,Walgreens
Walgreens,Houston Pride,Silver,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Walgreens
Walmart,Houston Pride,Gold,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Walmart
Warner Media,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Warner Media
Warner Media,Atlanta Pride,Platinum Sponsors,2021,https://www.atlantapride.org/our_partners/,Warner Media
Waterloo Sparkling Water,Houston Pride,Silver,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Waterloo Sparkling Water
WAYMO,SF Pride,Celebretory Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,Google
Wellstar Health System,Atlanta Pride,Platinum Sponsors,2021,https://www.atlantapride.org/our_partners/,Wellstar Health System
White Oaks Music Hall,Houston Pride,Silver,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,White Oak
Wild 94.9,SF Pride,Media Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,NA
WireMag,Miami Pride,Media Partners,2021,https://www.miamibeachpride.com/sponsor,NA
xfinity,SF Pride,Donor,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,Comcast
XPO Logistics,Atlanta Pride,Bronze,2021,https://www.atlantapride.org/our_partners/,XPO Logistics
XPO Pride,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,XPO Logistics
