date,discipline_code,discipline_name,event_code,event_description,start_datetime_local,end_datetime_local,start_datetime_utc,end_datetime_utc,is_medal_event,is_training,venue_code,venue_name,venue_slug,location_name,location_code,session_code,estimated_start,day_of_week,start_time,end_time
2026-02-09,FRS,Freestyle Skiing,FRSWSS----------------FNL-000100--,Women's Freeski Slopestyle Final Run 1,2026-02-09T12:30:00Z,2026-02-09T12:57:00Z,2026-02-09T11:30:00Z,2026-02-09T11:57:00Z,FALSE,FALSE,LSP,Livigno Snow Park,livigno-snow-park,Livigno Snow Park-Slopestyle,LSS,OFRS03,FALSE,Monday,12:30:00,12:57:00
2026-02-09,FRS,Freestyle Skiing,FRSWSS----------------FNL-000200--,Women's Freeski Slopestyle Final Run 2,2026-02-09T12:59:00Z,2026-02-09T13:26:00Z,2026-02-09T11:59:00Z,2026-02-09T12:26:00Z,FALSE,FALSE,LSP,Livigno Snow Park,livigno-snow-park,Livigno Snow Park-Slopestyle,LSS,OFRS03,FALSE,Monday,12:59:00,13:26:00
2026-02-09,FRS,Freestyle Skiing,FRSWSS----------------FNL-000300--,Women's Freeski Slopestyle Final Run 3,2026-02-09T13:28:00Z,2026-02-09T13:55:00Z,2026-02-09T12:28:00Z,2026-02-09T12:55:00Z,TRUE,FALSE,LSP,Livigno Snow Park,livigno-snow-park,Livigno Snow Park-Slopestyle,LSS,OFRS03,FALSE,Monday,13:28:00,13:55:00
2026-02-09,FRS,Freestyle Skiing,FRSMMO----------------QUAL000100--,Men's Moguls Qualification 1,2026-02-10T11:15:00Z,2026-02-10T12:10:00Z,2026-02-10T10:15:00Z,2026-02-10T11:10:00Z,FALSE,FALSE,LAM,Livigno Aerials & Moguls Park,livigno-aerials-moguls-park,Livigno LAM-Moguls&Dual Moguls,LMO,OFRS04,FALSE,Monday,11:15:00,12:10:00
2026-02-09,FRS,Freestyle Skiing,FRSMSS----------------FNL-000100--,Men's Freeski Slopestyle Final Run 1,2026-02-10T12:30:00Z,2026-02-10T12:57:00Z,2026-02-10T11:30:00Z,2026-02-10T11:57:00Z,FALSE,FALSE,LSP,Livigno Snow Park,livigno-snow-park,Livigno Snow Park-Slopestyle,LSS,OFRS05,FALSE,Monday,12:30:00,12:57:00
2026-02-09,FRS,Freestyle Skiing,FRSMSS----------------FNL-000200--,Men's Freeski Slopestyle Final Run 2,2026-02-10T12:59:00Z,2026-02-10T13:26:00Z,2026-02-10T11:59:00Z,2026-02-10T12:26:00Z,FALSE,FALSE,LSP,Livigno Snow Park,livigno-snow-park,Livigno Snow Park-Slopestyle,LSS,OFRS05,FALSE,Monday,12:59:00,13:26:00
2026-02-09,FRS,Freestyle Skiing,FRSMSS----------------FNL-000300--,Men's Freeski Slopestyle Final Run 3,2026-02-10T13:28:00Z,2026-02-10T13:55:00Z,2026-02-10T12:28:00Z,2026-02-10T12:55:00Z,TRUE,FALSE,LSP,Livigno Snow Park,livigno-snow-park,Livigno Snow Park-Slopestyle,LSS,OFRS05,FALSE,Monday,13:28:00,13:55:00
2026-02-09,FRS,Freestyle Skiing,FRSWMO----------------QUAL000100--,Women's Moguls Qualification 1,2026-02-10T14:15:00Z,2026-02-10T15:10:00Z,2026-02-10T13:15:00Z,2026-02-10T14:10:00Z,FALSE,FALSE,LAM,Livigno Aerials & Moguls Park,livigno-aerials-moguls-park,Livigno LAM-Moguls&Dual Moguls,LMO,OFRS06,FALSE,Monday,14:15:00,15:10:00
2026-02-09,IHO,Ice Hockey,IHOWTEAM6-------------GPB-000600--,Women's Prelim. Round - Group B,2026-02-08T16:40:00Z,2026-02-08T19:10:00Z,2026-02-08T15:40:00Z,2026-02-08T18:10:00Z,FALSE,FALSE,NA,NA,NA,Milano Rho Ice Hockey Arena,MH2,OIHO11,FALSE,Monday,16:40:00,19:10:00
2026-02-09,IHO,Ice Hockey,IHOWTEAM6-------------GPA-000600--,Women's Prelim. Round - Group A,2026-02-08T21:10:00Z,2026-02-08T23:40:00Z,2026-02-08T20:10:00Z,2026-02-08T22:40:00Z,FALSE,FALSE,NA,NA,NA,Milano Rho Ice Hockey Arena,MH2,OIHO12,FALSE,Monday,21:10:00,23:40:00
