gutenberg_author_id,author,alias,birthdate,deathdate,wikipedia,aliases
50161,"Walzel, Oskar F. (Oskar Franz)","Walzel, Oskar Franz",1864,1944,https://de.wikipedia.org/wiki/Oskar_Walzel,"Walzel, Oskar Franz"
50162,"Clark, Mary",Friend of youth,NA,1841,NA,Friend of youth
50163,"Baker, Francis A. (Francis Aloysius)",NA,1820,1865,https://en.wikipedia.org/wiki/Francis_Asbury_Baker,NA
50164,"Gillet, J. A. (Joseph Anthony)","Gillet, Joseph Anthony",1837,1908,NA,"Gillet, Joseph Anthony"
50165,"Caspari, K. H. (Karl Heinrich)","Caspari, Karl Heinrich",1815,1861,https://de.wikipedia.org/wiki/Karl_Heinrich_Caspari,"Caspari, Karl Heinrich"
50167,"Robinson, Boardman",NA,1876,1952,https://en.wikipedia.org/wiki/Boardman_Robinson,NA
50168,"Dracott, Alice",NA,1863,1939,NA,"Dracott, Alice Elizabeth/Goodall, Alice Elizabeth"
50169,"Harrison, Frederick",NA,1884,NA,NA,"Harrison, F. (Frederick)/Harrison, Fred"
50171,"Griffith, Wilson Parks",NA,NA,NA,NA,NA
50172,"Otlet, Paul",NA,1868,1944,https://en.wikipedia.org/wiki/Paul_Otlet|https://fr.wikipedia.org/wiki/Paul_Otlet,NA
50173,"Sumner, George C.",NA,NA,NA,NA,NA
50176,"Willoughby de Broke, Henry Verney, baron",NA,1844,1902,"https://en.wikipedia.org/wiki/Henry_Verney,_18th_Baron_Willoughby_de_Broke",NA
50177,"Harvey, William",NA,1578,1657,https://en.wikipedia.org/wiki/William_Harvey,"Harvy, Doctor (William)/Harvy, William/Harvey, Guglielmo/Harvejus, Guilielmus/Harvaeus, Guilielmus"
50178,"Alley, Henry",NA,1835,1908,https://en.wikipedia.org/wiki/Henry_Alley,NA
50179,"Peterson, Charles J. (Charles Jacobs)",NA,1819,1887,https://en.wikipedia.org/wiki/Charles_Jacobs_Peterson,"Peterson, C. J. (Charles Jacobs)/Randolph, James T., of Virginia/Peterson, Chas. J. (Charles Jacobs)/Cavendish, Harry/Shipley, Henry R./Danforth, Harry"
50180,"Badham, David","Badham, Charles David",1806,1857,https://en.wikipedia.org/wiki/Charles_David_Badham,"Badham, Charles David"
50182,"Wynne, Madeline Yale","Wynne, Madelene Yale",1847,1918,https://en.wikipedia.org/wiki/Madeline_Yale_Wynne,"Wynne, Madelene Yale"
50183,"Lienhard, Friedrich",NA,1865,1929,https://de.wikipedia.org/wiki/Friedrich_Lienhard,"Lienhard, Fritz/Lienhard, Frédéric/Lienhard, Frederic"
