gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
90,The Son of Tarzan,"Burroughs, Edgar Rice",48,en,Adventure/Movie Books/Contemporary Reviews/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
91,Tom Sawyer Abroad,"Twain, Mark",53,en,Browsing: Literature/Browsing: Travel & Geography/Browsing: Fiction,Public domain in the USA.,TRUE
92,Tarzan and the Jewels of Opar,"Burroughs, Edgar Rice",48,en,Adventure/Movie Books/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
93,"Tom Sawyer, Detective","Twain, Mark",53,en,Browsing: Crime/Mystery/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
94,Alexander's Bridge,"Cather, Willa",22,en,Browsing: Architecture/Browsing: Culture/Civilization/Society/Browsing: Literature/Browsing: Psychiatry/Psychology/Browsing: Fiction,Public domain in the USA.,TRUE
95,The prisoner of Zenda,"Hope, Anthony",63,en,"Adventure/Best Books Ever Listings/Movie Books/Bestsellers, American, 1895-1923/Browsing: History - British/Browsing: Literature/Browsing: Fiction",Public domain in the USA.,TRUE
96,The Monster Men,"Burroughs, Edgar Rice",48,en,Science Fiction/Browsing: Literature/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
97,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",64,en,Mathematics/Science Fiction/Browsing: Mathematics/Browsing: Science - General/Browsing: Science-Fiction & Fantasy,Public domain in the USA.,TRUE
98,A Tale of Two Cities,"Dickens, Charles",37,en,Historical Fiction/Browsing: History - British/Browsing: History - European/Browsing: History - General/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
99,Collected Articles of Frederick Douglass,"Douglass, Frederick",34510,en,Slavery/African American Writers/Browsing: Biographies/Browsing: Culture/Civilization/Society/Browsing: History - American/Browsing: Literature/Browsing: Politics,Public domain in the USA.,TRUE
100,The Complete Works of William Shakespeare,"Shakespeare, William",65,en,Plays/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
101,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,"Sterling, Bruce",66,en,Browsing: Computers & Technology/Browsing: Crime/Mystery/Browsing: Politics,Copyrighted. Read the copyright notice inside this book for details.,TRUE
102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",53,en,Browsing: Culture/Civilization/Society/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
103,Around the World in Eighty Days,"Verne, Jules",60,en,Adventure/Best Books Ever Listings/Movie Books/Browsing: Literature/Browsing: Travel & Geography/Browsing: Fiction,Public domain in the USA.,TRUE
104,"Inaugural Address of Franklin Delano Roosevelt
Given in Washington, D.C. March 4th, 1933","Roosevelt, Franklin D. (Franklin Delano)",67,en,Browsing: History - American/Browsing: Politics,Public domain in the USA.,TRUE
105,Persuasion,"Austen, Jane",68,en,Browsing: Culture/Civilization/Society/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
106,Jungle Tales of Tarzan,"Burroughs, Edgar Rice",48,en,Adventure/Movie Books/Browsing: Literature/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
107,Far from the Madding Crowd,"Hardy, Thomas",23,en,Browsing: Culture/Civilization/Society/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
108,The Return of Sherlock Holmes,"Doyle, Arthur Conan",69,en,Detective Fiction/Browsing: Crime/Mystery/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
109,"Renascence, and Other Poems","Millay, Edna St. Vincent",70,en,Browsing: Literature/Browsing: Poetry,Public domain in the USA.,TRUE
110,Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas",23,en,Banned Books from Anne Haight's list/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
111,Freckles,"Stratton-Porter, Gene",71,en,Browsing: Culture/Civilization/Society/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
112,Violists,"McGowan, Richard",72,en,Browsing: Literature/Browsing: Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE
113,The Secret Garden,"Burnett, Frances Hodgson",73,en,Children's Literature/Browsing: Children & Young Adult Reading/Browsing: Culture/Civilization/Society/Browsing: Fiction,Public domain in the USA.,TRUE
114,The Tenniel Illustrations for Carroll's Alice in Wonderland,"Tenniel, John",74,en,Browsing: Art & Photography/Browsing: Children & Young Adult Reading/Browsing: Fiction,Public domain in the USA.,TRUE
115,United States Census Figures Back to 1630,United States. Bureau of the Census,25,en,Browsing: Encyclopedias/Dictionaries/Reference/Browsing: History - American/Browsing: Sociology,Public domain in the USA.,TRUE
116,Motion Pictures of the Apollo 11 Lunar Landing,United States,1,en,Browsing: Computers & Technology/Browsing: Engineering & Construction/Browsing: History - Warfare/Browsing: Science - General,Public domain in the USA.,TRUE
117,Symphony No. 5 in C minor Opus 67,"Beethoven, Ludwig van",75,en,Browsing: Music,Copyrighted. Read the copyright notice inside this book for details.,TRUE
118,Big Dummy's Guide to the Internet,Electronic Frontier Foundation,76,en,Browsing: Computers & Technology,Copyrighted. Read the copyright notice inside this book for details.,TRUE
119,A Tramp Abroad,"Twain, Mark",53,en,Browsing: Culture/Civilization/Society/Browsing: Humour/Browsing: Travel & Geography/Browsing: Fiction,Public domain in the USA.,TRUE
120,Treasure Island,"Stevenson, Robert Louis",35,en,"Children's Literature/Historical Fiction/Best Books Ever Listings/Pirates, Buccaneers, Corsairs, etc./Browsing: Children & Young Adult Reading/Browsing: Literature/Browsing: Fiction",Public domain in the USA.,TRUE
121,Northanger Abbey,"Austen, Jane",68,en,Gothic Fiction/Browsing: Culture/Civilization/Society/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
122,The Return of the Native,"Hardy, Thomas",23,en,Browsing: Culture/Civilization/Society/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
123,At the Earth's Core,"Burroughs, Edgar Rice",48,en,Science Fiction/Browsing: Literature/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
124,"Deuterocanonical Books of the Bible
Apocrypha",Anonymous,216,en,Christianity/Browsing: Religion/Spirituality/Paranormal,Public domain in the USA.,TRUE
125,A Girl of the Limberlost,"Stratton-Porter, Gene",71,en,Browsing: Culture/Civilization/Society/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
126,The Poison Belt,"Doyle, Arthur Conan",69,en,Science Fiction/Browsing: Literature/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
127,"The number ""e""","Nemiroff, Robert J.",77,en,Mathematics/Browsing: Mathematics/Browsing: Science - General,Public domain in the USA.,TRUE
127,"The number ""e""","Bonnell, Jerry T.",78,en,Mathematics/Browsing: Mathematics/Browsing: Science - General,Public domain in the USA.,TRUE
128,The Arabian Nights Entertainments,"Lang, Andrew",79,en,Browsing: Children & Young Adult Reading/Browsing: Culture/Civilization/Society/Browsing: Literature,Public domain in the USA.,TRUE
129,The square root of 2,"Nemiroff, Robert J.",77,en,Mathematics/Browsing: Mathematics/Browsing: Science - General,Public domain in the USA.,TRUE
129,The square root of 2,"Bonnell, Jerry T.",78,en,Mathematics/Browsing: Mathematics/Browsing: Science - General,Public domain in the USA.,TRUE
130,Orthodoxy,"Chesterton, G. K. (Gilbert Keith)",80,en,Christianity/Browsing: Philosophy & Ethics/Browsing: Religion/Spirituality/Paranormal,Public domain in the USA.,TRUE
131,"The Pilgrim's Progress from this world to that which is to come
Delivered under the similitude of a dream, by John Bunyan","Bunyan, John",81,en,Christianity/Harvard Classics/Browsing: Literature/Browsing: Religion/Spirituality/Paranormal/Browsing: Fiction,Public domain in the USA.,TRUE
132,The Art of War,"Sunzi, active 6th century B.C.",4349,en,Browsing: History - Warfare,Public domain in the USA.,TRUE
133,The Damnation of Theron Ware,"Frederic, Harold",83,en,"Bestsellers, American, 1895-1923/Browsing: Culture/Civilization/Society/Browsing: Literature/Browsing: Fiction",Public domain in the USA.,TRUE
134,"Maria; Or, The Wrongs of Woman","Wollstonecraft, Mary",84,en,Browsing: Gender & Sexuality Studies/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
135,Les Misérables,"Hugo, Victor",85,en,Historical Fiction/Banned Books from Anne Haight's list/Browsing: Culture/Civilization/Society/Browsing: History - General/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
136,A Child's Garden of Verses,"Stevenson, Robert Louis",35,en,Browsing: Children & Young Adult Reading/Browsing: Literature/Browsing: Poetry,Public domain in the USA.,TRUE
137,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School","Burnett, Frances Hodgson",73,en,School Stories/Browsing: Children & Young Adult Reading/Browsing: Teaching & Education/Browsing: Fiction,Public domain in the USA.,TRUE
138,George Sand: Some Aspects of Her Life and Writings,"Doumic, René",86,en,Browsing: Biographies/Browsing: Culture/Civilization/Society/Browsing: Literature,Public domain in the USA.,TRUE
139,The Lost World,"Doyle, Arthur Conan",69,en,Science Fiction/Browsing: Literature/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
