gutenberg_id,subject_type,subject
97,lcc,QA
98,lcsh,Historical fiction
98,lcsh,"France -- History -- Revolution, 1789-1799 -- Fiction"
98,lcsh,London (England) -- History -- 18th century -- Fiction
98,lcsh,War stories
98,lcsh,Executions and executioners -- Fiction
98,lcsh,French -- England -- London -- Fiction
98,lcsh,Lookalikes -- Fiction
98,lcsh,British -- France -- Paris -- Fiction
98,lcsh,Paris (France) -- History -- 1789-1799 -- Fiction
98,lcc,PR
99,lcsh,"Douglass, Frederick, 1818-1895"
99,lcsh,Slavery
99,lcsh,African American abolitionists
99,lcsh,Essays
99,lcsh,"Reconstruction (U.S. history, 1865-1877)"
99,lcc,E300
99,lcc,E660
100,lcsh,"English drama -- Early modern and Elizabethan, 1500-1600"
100,lcc,PR
101,lcsh,Computer crimes -- United States
101,lcsh,Telephone -- Corrupt practices -- United States
101,lcsh,Computer programming -- Corrupt practices -- United States
101,lcc,HV
102,lcsh,Impostors and imposture -- Fiction
102,lcsh,Missouri -- Fiction
102,lcsh,Trials (Murder) -- Fiction
102,lcsh,Legal stories
102,lcsh,Race relations -- Fiction
102,lcsh,Infants switched at birth -- Fiction
102,lcsh,Passing (Identity) -- Fiction
102,lcc,PS
103,lcsh,Adventure stories
103,lcsh,Voyages around the world -- Fiction
103,lcc,PQ
104,lcsh,United States -- Politics and government -- 1933-1945
104,lcsh,Presidents -- United States -- Inaugural addresses
104,lcsh,"New Deal, 1933-1939"
104,lcc,E740
105,lcsh,England -- Social life and customs -- 19th century -- Fiction
105,lcsh,Psychological fiction
105,lcsh,Young women -- Fiction
105,lcsh,Motherless families -- Fiction
105,lcsh,Rejection (Psychology) -- Fiction
105,lcsh,First loves -- Fiction
105,lcsh,Dysfunctional families -- Fiction
105,lcsh,Ship captains -- Fiction
105,lcsh,Love stories
105,lcsh,Regency fiction
105,lcc,PR
106,lcsh,Tarzan (Fictitious character) -- Fiction
106,lcsh,Africa -- Fiction
106,lcsh,Fantasy fiction
106,lcsh,Jungles -- Fiction
106,lcsh,Adventure stories
106,lcsh,Apes -- Fiction
106,lcc,PZ
106,lcc,PS
107,lcsh,Didactic fiction
107,lcsh,Love stories
107,lcsh,Triangles (Interpersonal relations) -- Fiction
107,lcsh,Pastoral fiction
107,lcsh,Farm life -- Fiction
107,lcsh,Women farmers -- Fiction
107,lcsh,Wessex (England) -- Fiction
107,lcc,PR
108,lcsh,"Holmes, Sherlock (Fictitious character) -- Fiction"
108,lcsh,"Detective and mystery stories, English"
108,lcc,PR
109,lcsh,American poetry
109,lcc,PS
110,lcsh,Didactic fiction
110,lcsh,Poor families -- Fiction
110,lcsh,Children of the rich -- Fiction
110,lcsh,Triangles (Interpersonal relations) -- Fiction
110,lcsh,Pastoral fiction
110,lcsh,Children of clergy -- Fiction
110,lcsh,Wessex (England) -- Fiction
110,lcsh,Man-woman relationships -- Fiction
110,lcsh,Women murderers -- Fiction
110,lcsh,Rape victims -- Fiction
110,lcsh,Women household employees -- Fiction
110,lcc,PR
111,lcsh,Orphans -- Fiction
111,lcsh,People with disabilities -- Fiction
111,lcsh,Indiana -- Fiction
111,lcsh,Swamps -- Fiction
111,lcc,PZ
111,lcc,PS
112,lcsh,Short stories
112,lcsh,Love stories
