type,nationality,band,percent,year
Academic,Kenya,4,5.080332761795898e-4,2024-2025
Academic,Kenya,4.5,0.002286149742808154,2024-2025
Academic,Kenya,5,0.017654156347240747,2024-2025
Academic,Kenya,5.5,0.07150568362227726,2024-2025
Academic,Kenya,6,0.18073283800088905,2024-2025
Academic,Kenya,6.5,0.2573823585444847,2024-2025
Academic,Kenya,7,0.23585444846637454,2024-2025
Academic,Kenya,7.5,0.15380707436337082,2024-2025
Academic,Kenya,8,0.06877500476281197,2024-2025
Academic,Kenya,8.5,0.011303740394995874,2024-2025
Academic,Kenya,9,6.350415952244872e-5,2024-2025
Academic,"Korea, Republic of",<4,0.002289274187495309,2024-2025
Academic,"Korea, Republic of",4,0.005967124521504166,2024-2025
Academic,"Korea, Republic of",4.5,0.02202957291901224,2024-2025
Academic,"Korea, Republic of",5,0.07153043608796818,2024-2025
Academic,"Korea, Republic of",5.5,0.16880582451399836,2024-2025
Academic,"Korea, Republic of",6,0.23590782856713954,2024-2025
Academic,"Korea, Republic of",6.5,0.20843653831719583,2024-2025
Academic,"Korea, Republic of",7,0.15124221271485402,2024-2025
Academic,"Korea, Republic of",7.5,0.08763041357051715,2024-2025
Academic,"Korea, Republic of",8,0.036966148765293104,2024-2025
Academic,"Korea, Republic of",8.5,0.008969451324776702,2024-2025
Academic,"Korea, Republic of",9,2.2517451024544022e-4,2024-2025
Academic,Kuwait,<4,0.025876760247555836,2024-2025
Academic,Kuwait,4,0.057583639788321817,2024-2025
Academic,Kuwait,4.5,0.13342003767154004,2024-2025
Academic,Kuwait,5,0.1809579334469459,2024-2025
Academic,Kuwait,5.5,0.18355906359314736,2024-2025
Academic,Kuwait,6,0.1504619248363082,2024-2025
Academic,Kuwait,6.5,0.10897838371154363,2024-2025
Academic,Kuwait,7,0.08117319939007983,2024-2025
Academic,Kuwait,7.5,0.05197775585254282,2024-2025
Academic,Kuwait,8,0.022019912099739886,2024-2025
Academic,Kuwait,8.5,0.003991389362274643,2024-2025
Academic,Kuwait,9,0,2024-2025
Academic,Malaysia,<4,4.7173519930812175e-4,2024-2025
Academic,Malaysia,4,0.0010220929318342639,2024-2025
Academic,Malaysia,4.5,0.005189087192389339,2024-2025
Academic,Malaysia,5,0.020284613570249233,2024-2025
Academic,Malaysia,5.5,0.05747307178237283,2024-2025
Academic,Malaysia,6,0.11054328170453653,2024-2025
Academic,Malaysia,6.5,0.15441465524019185,2024-2025
Academic,Malaysia,7,0.1802814686689205,2024-2025
Academic,Malaysia,7.5,0.21581885368346568,2024-2025
Academic,Malaysia,8,0.19388316691563806,2024-2025
Academic,Malaysia,8.5,0.05951725764604136,2024-2025
Academic,Malaysia,9,0.0011007154650522842,2024-2025
Academic,Mexico,<4,0.016327443524938492,2024-2025
Academic,Mexico,4,0.013643480205770522,2024-2025
Academic,Mexico,4.5,0.020875270260195332,2024-2025
Academic,Mexico,5,0.0501006486244688,2024-2025
Academic,Mexico,5.5,0.10385446954447178,2024-2025
Academic,Mexico,6,0.1644673078356818,2024-2025
Academic,Mexico,6.5,0.18176396033698652,2024-2025
Academic,Mexico,7,0.17624692462536345,2024-2025
Academic,Mexico,7.5,0.15857749944084099,2024-2025
Academic,Mexico,8,0.09468426153731455,2024-2025
Academic,Mexico,8.5,0.019309624990680684,2024-2025
Academic,Mexico,9,1.491090732871095e-4,2024-2025
Academic,Mongolia,<4,0.004354302738627249,2024-2025
Academic,Mongolia,4,0.011000343760742522,2024-2025
Academic,Mongolia,4.5,0.032542683625529964,2024-2025
Academic,Mongolia,5,0.07803368855276727,2024-2025
Academic,Mongolia,5.5,0.14827546694167526,2024-2025
Academic,Mongolia,6,0.1779534777128452,2024-2025
Academic,Mongolia,6.5,0.19078721210037813,2024-2025
Academic,Mongolia,7,0.1702761544631603,2024-2025
Academic,Mongolia,7.5,0.12421221496505097,2024-2025
Academic,Mongolia,8,0.054314197318666206,2024-2025
Academic,Mongolia,8.5,0.008135670906382491,2024-2025
Academic,Mongolia,9,1.1458691417440128e-4,2024-2025
Academic,Myanmar,<4,8.49823965035814e-4,2024-2025
Academic,Myanmar,4,0.004856136943061795,2024-2025
Academic,Myanmar,4.5,0.013597183440573025,2024-2025
Academic,Myanmar,5,0.04601189753551051,2024-2025
Academic,Myanmar,5.5,0.12031079276435597,2024-2025
Academic,Myanmar,6,0.2005584557484521,2024-2025
Academic,Myanmar,6.5,0.19910161466553358,2024-2025
Academic,Myanmar,7,0.17482092995022458,2024-2025
Academic,Myanmar,7.5,0.14009955080733277,2024-2025
Academic,Myanmar,8,0.08413257253854559,2024-2025
Academic,Myanmar,8.5,0.015054024523491562,2024-2025
Academic,Myanmar,9,6.070171178827244e-4,2024-2025
Academic,Nepal,<4,0.00136148129164531,2024-2025
Academic,Nepal,4,0.004532931829830856,2024-2025
Academic,Nepal,4.5,0.018115709892362893,2024-2025
Academic,Nepal,5,0.073888390568939,2024-2025
Academic,Nepal,5.5,0.188461045617632,2024-2025
Academic,Nepal,6,0.2565351101998975,2024-2025
Academic,Nepal,6.5,0.21258329062019476,2024-2025
Academic,Nepal,7,0.1382784469502819,2024-2025
Academic,Nepal,7.5,0.07414466940030753,2024-2025
Academic,Nepal,8,0.02899154279856484,2024-2025
Academic,Nepal,8.5,0.0030433111225012816,2024-2025
Academic,Nepal,9,6.406970784213224e-5,2024-2025
Academic,Nigeria,<4,5.979073243647235e-4,2024-2025
Academic,Nigeria,4,0.0024580634446105297,2024-2025
Academic,Nigeria,4.5,0.007938880584620495,2024-2025
Academic,Nigeria,5,0.028932071084537454,2024-2025
Academic,Nigeria,5.5,0.08168078392293639,2024-2025
Academic,Nigeria,6,0.16306261418369045,2024-2025
Academic,Nigeria,6.5,0.21953163926258096,2024-2025
Academic,Nigeria,7,0.22052815146985552,2024-2025
Academic,Nigeria,7.5,0.16963959475170237,2024-2025
Academic,Nigeria,8,0.09101478159774125,2024-2025
Academic,Nigeria,8.5,0.014549078226208273,2024-2025
Academic,Nigeria,9,6.643414715163595e-5,2024-2025
Academic,Oman,<4,0.015002768967426874,2024-2025
Academic,Oman,4,0.04193727030156572,2024-2025
Academic,Oman,4.5,0.13457181694608067,2024-2025
Academic,Oman,5,0.26028293812616426,2024-2025
Academic,Oman,5.5,0.2747319136082163,2024-2025
Academic,Oman,6,0.1358807833660575,2024-2025
Academic,Oman,6.5,0.063182802195036,2024-2025
Academic,Oman,7,0.03821175049086241,2024-2025
Academic,Oman,7.5,0.02421587876957157,2024-2025
Academic,Oman,8,0.010572421084428334,2024-2025
Academic,Oman,8.5,0.0014096561445904447,2024-2025
Academic,Oman,9,0,2024-2025
Academic,Pakistan,<4,0.003769328124140208,2024-2025
Academic,Pakistan,4,0.009395806966378692,2024-2025
Academic,Pakistan,4.5,0.0237165025037143,2024-2025
Academic,Pakistan,5,0.061203433665327676,2024-2025
Academic,Pakistan,5.5,0.1465773400099048,2024-2025
Academic,Pakistan,6,0.22106971881362458,2024-2025
Academic,Pakistan,6.5,0.1956886589996148,2024-2025
Academic,Pakistan,7,0.15104825840532657,2024-2025
Academic,Pakistan,7.5,0.10677928795465799,2024-2025
Academic,Pakistan,8,0.06497276178946788,2024-2025
Academic,Pakistan,8.5,0.01560006603202553,2024-2025
Academic,Pakistan,9,1.7883673581687117e-4,2024-2025
Academic,Philippines,<4,8.575031525851198e-4,2024-2025
Academic,Philippines,4,0.003430012610340479,2024-2025
Academic,Philippines,4.5,0.008575031525851198,2024-2025
Academic,Philippines,5,0.024363177805800756,2024-2025
Academic,Philippines,5.5,0.0664312736443884,2024-2025
Academic,Philippines,6,0.14829760403530895,2024-2025
Academic,Philippines,6.5,0.2076670870113493,2024-2025
Academic,Philippines,7,0.22153846153846155,2024-2025
Academic,Philippines,7.5,0.17815889029003784,2024-2025
Academic,Philippines,8,0.10991172761664565,2024-2025
Academic,Philippines,8.5,0.030113493064312737,2024-2025
Academic,Philippines,9,6.557377049180328e-4,2024-2025
Academic,Russian Federation,<4,0.0011483881551964564,2024-2025
Academic,Russian Federation,4,0.0026248872118776146,2024-2025
Academic,Russian Federation,4.5,0.01008941022065458,2024-2025
Academic,Russian Federation,5,0.033631367402181936,2024-2025
Academic,Russian Federation,5.5,0.07833647772947255,2024-2025
Academic,Russian Federation,6,0.1360839963907801,2024-2025
Academic,Russian Federation,6.5,0.17250430645558196,2024-2025
Academic,Russian Federation,7,0.18193749487326716,2024-2025
Academic,Russian Federation,7.5,0.20063981625789518,2024-2025
Academic,Russian Federation,8,0.15027479287999343,2024-2025
Academic,Russian Federation,8.5,0.0320728406201296,2024-2025
Academic,Russian Federation,9,6.562218029694037e-4,2024-2025
Academic,Saudi Arabia,<4,0.025419354838709676,2024-2025
Academic,Saudi Arabia,4,0.044000000000000004,2024-2025
Academic,Saudi Arabia,4.5,0.08095483870967742,2024-2025
Academic,Saudi Arabia,5,0.1376774193548387,2024-2025
Academic,Saudi Arabia,5.5,0.17938064516129032,2024-2025
Academic,Saudi Arabia,6,0.17785806451612904,2024-2025
Academic,Saudi Arabia,6.5,0.14593548387096775,2024-2025
Academic,Saudi Arabia,7,0.10647741935483872,2024-2025
Academic,Saudi Arabia,7.5,0.0664516129032258,2024-2025
Academic,Saudi Arabia,8,0.030890322580645158,2024-2025
Academic,Saudi Arabia,8.5,0.004929032258064517,2024-2025
Academic,Saudi Arabia,9,2.5806451612903226e-5,2024-2025
Academic,Spain,<4,1.299545159194282e-4,2024-2025
Academic,Spain,4,3.898635477582846e-4,2024-2025
Academic,Spain,4.5,0.004158544509421702,2024-2025
Academic,Spain,5,0.017543859649122806,2024-2025
Academic,Spain,5.5,0.048862897985705,2024-2025
Academic,Spain,6,0.10032488628979856,2024-2025
Academic,Spain,6.5,0.15932423651721897,2024-2025
Academic,Spain,7,0.193632228719948,2024-2025
Academic,Spain,7.5,0.22287199480181935,2024-2025
Academic,Spain,8,0.1985705003248863,2024-2025
Academic,Spain,8.5,0.05354126055880441,2024-2025
Academic,Spain,9,6.49772579597141e-4,2024-2025
Academic,Sri Lanka,<4,0.0016196205460434984,2024-2025
Academic,Sri Lanka,4,0.005205923183711245,2024-2025
Academic,Sri Lanka,4.5,0.020534474780194354,2024-2025
Academic,Sri Lanka,5,0.06276029615918556,2024-2025
Academic,Sri Lanka,5.5,0.1414854234150856,2024-2025
Academic,Sri Lanka,6,0.20881536325775105,2024-2025
Academic,Sri Lanka,6.5,0.19487505784359094,2024-2025
Academic,Sri Lanka,7,0.14738546968995836,2024-2025
Academic,Sri Lanka,7.5,0.11973623322535865,2024-2025
Academic,Sri Lanka,8,0.0760643220731143,2024-2025
Academic,Sri Lanka,8.5,0.0211129106894956,2024-2025
Academic,Sri Lanka,9,4.049051365108746e-4,2024-2025
Academic,Taiwan,<4,0.0033040535095495206,2024-2025
Academic,Taiwan,4,0.006728987025545974,2024-2025
Academic,Taiwan,4.5,0.0204690144250141,2024-2025
Academic,Taiwan,5,0.06317995003626399,2024-2025
Academic,Taiwan,5.5,0.14634539447175438,2024-2025
Academic,Taiwan,6,0.2341848658231928,2024-2025
Academic,Taiwan,6.5,0.22870497219759853,2024-2025
Academic,Taiwan,7,0.1658876621806753,2024-2025
Academic,Taiwan,7.5,0.09134499153839953,2024-2025
Academic,Taiwan,8,0.03437021516641147,2024-2025
Academic,Taiwan,8.5,0.005399306954629704,2024-2025
Academic,Taiwan,9,8.058667096462245e-5,2024-2025
Academic,Thailand,<4,0.007417722196931153,2024-2025
Academic,Thailand,4,0.013255496344696463,2024-2025
Academic,Thailand,4.5,0.037490292692070805,2024-2025
Academic,Thailand,5,0.09383284685215436,2024-2025
