tconst,title_type,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes
tt1565050,tvMovie,The Loch Ness Monster Revealed,The Loch Ness Monster Revealed,2009,NA,Documentary,the loch ness monster revealed,6.6,11
tt1565962,tvMovie,Monster Bug Wars!,Monster Bug Wars!,2009,NA,Documentary,monster bug wars,7.6,29
tt15816392,movie,Monster,Monster,2022,135,"Action,Adventure,Crime",monster,4.4,3162
tt16063376,movie,The Hideous Bog Monster,The Hideous Bog Monster,2021,110,Horror,the hideous bog monster,1.2,15
tt1617136,movie,Monster,Monster,2010,85,"Action,Adventure,Comedy",monster,4.8,16
tt1618435,tvMovie,Scooby-Doo! Curse of the Lake Monster,Scooby-Doo! Curse of the Lake Monster,2010,79,"Adventure,Comedy,Family",scoobydoo curse of the lake monster,4.8,5622
tt16210888,movie,Water Monster 2,Shui guai 2: Hei mulin,2021,84,Horror,water monster 2,7,45
tt16226674,movie,Snow Monster,Da xue guai,2019,83,"Action,Adventure,Fantasy",snow monster,4.5,201
tt1639403,movie,Monster Cruise,Monster Cruise,2010,90,Comedy,monster cruise,4.9,30
tt16429984,movie,Monster Python,Bianyi kuang mang,2018,64,"Horror,Thriller",monster python,4.2,51
tt1668204,video,Modern Monster Movie-making: The Making of 'Monsters vs Aliens',Modern Monster Movie-making: The Making of 'Monsters vs Aliens',2009,15,"Documentary,Short",modern monster moviemaking the making of monsters vs aliens,4.8,12
tt1680008,movie,The Invisible Atomic Monsters from Mars,The Invisible Atomic Monsters from Mars,2010,75,"Drama,Horror,Sci-Fi",the invisible atomic monsters from mars,5.7,21
tt1680101,movie,Monster Heroes,Monster Heroes,2010,100,Comedy,monster heroes,6.4,77
tt1686902,movie,Monsters in the Woods,Monsters in the Woods,2012,96,Horror,monsters in the woods,2.6,1497
tt1711447,movie,Bikini Monsters,Bikini Monsters,2010,90,"Horror,Sci-Fi",bikini monsters,3.5,40
tt1716753,movie,Monster Brawl,Monster Brawl,2011,89,"Action,Comedy,Horror",monster brawl,3.6,2650
tt1717690,movie,The Amateur Monster Movie,The Amateur Monster Movie,2011,99,"Comedy,Horror",the amateur monster movie,6.5,103
tt1722633,video,Sesame Street: Cookie Monster's Best Bites,Sesame Street: Cookie Monster's Best Bites,1995,60,Family,sesame street cookie monsters best bites,8.1,29
tt1754296,movie,OJ Simpson: Monster or Myth?,OJ Simpson: Monster or Myth?,2010,51,Documentary,oj simpson monster or myth,4.9,99
tt1773715,movie,The Aurora Monsters: The Model Craze That Gripped the World,The Aurora Monsters: The Model Craze That Gripped the World,2010,104,"Comedy,Documentary,Fantasy",the aurora monsters the model craze that gripped the world,8.1,19
tt1777610,tvMovie,Flying Monsters 3D with David Attenborough,Flying Monsters 3D with David Attenborough,2011,40,Documentary,flying monsters 3d with david attenborough,7.5,1046
tt1789846,tvMovie,Monster High: New Ghoul at School,Monster High: New Ghoul at School,2010,23,"Animation,Fantasy",monster high new ghoul at school,6.8,775
tt1789847,tvMovie,Monster of the House,Monster of the House,2011,NA,Comedy,monster of the house,6.1,14
tt1793224,movie,Friends: Naki on the Monster Island,Friends: Mononokeshima no Naki,2011,87,"Adventure,Animation,Comedy",friends naki on the monster island,6.3,345
tt1802150,tvMovie,Gods & Monsters: Homer's Odyssey,Gods & Monsters: Homer's Odyssey,2010,NA,Documentary,gods  monsters homers odyssey,7,18
tt1817209,movie,Lollipop Monster,Lollipop Monster,2011,90,Drama,lollipop monster,6.4,466
tt18259766,movie,The Sousea Water Monster,The Sousea Water Monster,2021,NA,Action,the sousea water monster,7.4,105
tt1833080,video,Sesame Street: C is for Cookie Monster,Sesame Street: C Is for Cookie Monster,2010,67,Family,sesame street c is for cookie monster,8.5,17
tt18340128,movie,Rifftrax: Attack of the Super Monsters,Rifftrax: Attack of the Super Monsters,2019,NA,Comedy,rifftrax attack of the super monsters,7.3,41
tt1854564,movie,Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters,2013,106,"Adventure,Family,Fantasy",percy jackson sea of monsters,5.7,128599
tt1877803,movie,The Monsters' Dinner,Canavarlar Sofrasi,2011,85,"Comedy,Drama",the monsters dinner,5.8,233
tt1881087,video,The Puppet Monster Massacre,The Puppet Monster Massacre,2010,70,"Adventure,Animation,Comedy",the puppet monster massacre,5.4,225
tt19050262,video,Dragon Lizard Lord Super Monsters,Dragon Lizard Lord Super Monsters,2022,NA,"Comedy,Sci-Fi",dragon lizard lord super monsters,5,11
tt1935302,movie,Monsters: Dark Continent,Monsters: Dark Continent,2014,119,"Action,Drama,Sci-Fi",monsters dark continent,4.3,11304
tt19638448,movie,Underground Monster,Di di guai wu,2022,90,"Adventure,Drama,Family",underground monster,4.8,153
tt19872200,tvMovie,Scariest Monsters in America,Scariest Monsters in America,2022,85,Documentary,scariest monsters in america,4.7,156
tt1988725,tvMovie,Monsters and Mysteries in Alaska,Monsters and Mysteries in Alaska,2010,NA,Documentary,monsters and mysteries in alaska,6,39
tt19896150,movie,The Angry Black Girl and Her Monster,The Angry Black Girl and Her Monster,2023,91,"Drama,Fantasy,Horror",the angry black girl and her monster,5.4,2186
tt2011138,movie,Monsters Club,Monsutâzu kurabu,2011,71,Drama,monsters club,6.2,371
tt20117176,movie,The Monster Mash,The Monster Mash,2022,114,Horror,the monster mash,6.4,112
tt20200868,movie,Ocean City Monster Building,Ocean City Monster Building,2022,90,"Comedy,Drama,Mystery",ocean city monster building,6.3,28
tt2022438,video,Kamen Rider Kuuga vs. the Strong Monster Go-Jiino-Da,Kamen Rider Kuuga vs. the Strong Monster Go-Jiino-Da,2000,NA,"Sci-Fi,Short",kamen rider kuuga vs the strong monster gojiinoda,5.5,47
tt2023638,movie,The Monsters,Os Monstros,2011,81,Drama,the monsters,6.9,56
tt2033371,tvMovie,Sky Monsters,Sky Monsters,2005,90,Documentary,sky monsters,7.4,44
tt2050498,tvMovie,"Dinosaurs, Myths and Monsters","Dinosaurs, Myths and Monsters",2011,60,Documentary,dinosaurs myths and monsters,7,34
tt2051823,movie,Attack of the Alien Jelly Monsters from the Depths of Uranus,Attack of the Alien Jelly Monsters from the Depths of Uranus,2011,NA,"Comedy,Horror,Sci-Fi",attack of the alien jelly monsters from the depths of uranus,6,17
tt20602938,video,Golden Kamuy OAD: Monster,Golden Kamuy OAD: Monster,2019,22,"Animation,Short",golden kamuy oad monster,7.2,18
tt2070759,movie,Ninjas vs. Monsters,Ninjas vs. Monsters,2012,90,"Action,Comedy,Horror",ninjas vs monsters,3.2,172
tt2075292,movie,Monster Killer,Red tears - kôrui,2011,87,"Action,Horror",monster killer,4.7,152
tt2079546,tvMovie,Monster Jellyfish,Monster Jellyfish,2010,50,Documentary,monster jellyfish,7.9,19
tt20872274,movie,The Boy in the Tiny House and the Monster Who Lived Next Door,The Boy in the Tiny House and the Monster Who Lived Next Door,2022,105,Horror,the boy in the tiny house and the monster who lived next door,5.9,26
tt2100623,movie,Seamonsters,Seamonsters,2011,97,Drama,seamonsters,6.6,363
tt2168938,tvMovie,Monster High: Why Do Ghouls Fall in Love?,Monster High: Why Do Ghouls Fall in Love?,2012,44,"Animation,Family,Fantasy",monster high why do ghouls fall in love,7,1219
