entity,code,year,crop_oil,production
Afghanistan,AFG,1994,Safflower,NA
Afghanistan,AFG,1994,Sunflower,3675
Afghanistan,AFG,1994,Maize,NA
Afghanistan,AFG,1994,Palm kernel,NA
Afghanistan,AFG,1995,Soybean,NA
Afghanistan,AFG,1995,Sesame,4276
Afghanistan,AFG,1995,Linseed,3952
Afghanistan,AFG,1995,Palm,NA
Afghanistan,AFG,1995,Rapeseed,NA
Afghanistan,AFG,1995,Groundnut,NA
Afghanistan,AFG,1995,Cottonseed,7542
Afghanistan,AFG,1995,Coconut (copra),NA
Afghanistan,AFG,1995,"Olive, virgin",73
Afghanistan,AFG,1995,Safflower,NA
Afghanistan,AFG,1995,Sunflower,2932
Afghanistan,AFG,1995,Maize,NA
Afghanistan,AFG,1995,Palm kernel,NA
Afghanistan,AFG,1996,Soybean,NA
Afghanistan,AFG,1996,Sesame,3926
Afghanistan,AFG,1996,Linseed,3902
Afghanistan,AFG,1996,Palm,NA
Afghanistan,AFG,1996,Rapeseed,NA
Afghanistan,AFG,1996,Groundnut,NA
Afghanistan,AFG,1996,Cottonseed,7542
Afghanistan,AFG,1996,Coconut (copra),NA
Afghanistan,AFG,1996,"Olive, virgin",90
Afghanistan,AFG,1996,Safflower,NA
Afghanistan,AFG,1996,Sunflower,3164
Afghanistan,AFG,1996,Maize,NA
Afghanistan,AFG,1996,Palm kernel,NA
Afghanistan,AFG,1997,Soybean,NA
Afghanistan,AFG,1997,Sesame,3876
Afghanistan,AFG,1997,Linseed,3899
Afghanistan,AFG,1997,Palm,NA
Afghanistan,AFG,1997,Rapeseed,NA
Afghanistan,AFG,1997,Groundnut,NA
Afghanistan,AFG,1997,Cottonseed,7542
Afghanistan,AFG,1997,Coconut (copra),NA
Afghanistan,AFG,1997,"Olive, virgin",73
Afghanistan,AFG,1997,Safflower,NA
Afghanistan,AFG,1997,Sunflower,3411
Afghanistan,AFG,1997,Maize,NA
Afghanistan,AFG,1997,Palm kernel,NA
Afghanistan,AFG,1998,Soybean,NA
Afghanistan,AFG,1998,Sesame,3908
Afghanistan,AFG,1998,Linseed,3936
Afghanistan,AFG,1998,Palm,NA
Afghanistan,AFG,1998,Rapeseed,NA
Afghanistan,AFG,1998,Groundnut,NA
Afghanistan,AFG,1998,Cottonseed,7542
Afghanistan,AFG,1998,Coconut (copra),NA
Afghanistan,AFG,1998,"Olive, virgin",90
Afghanistan,AFG,1998,Safflower,NA
Afghanistan,AFG,1998,Sunflower,3933
Afghanistan,AFG,1998,Maize,NA
Afghanistan,AFG,1998,Palm kernel,NA
Afghanistan,AFG,1999,Soybean,NA
Afghanistan,AFG,1999,Sesame,4051
Afghanistan,AFG,1999,Linseed,4050
Afghanistan,AFG,1999,Palm,NA
Afghanistan,AFG,1999,Rapeseed,NA
Afghanistan,AFG,1999,Groundnut,NA
Afghanistan,AFG,1999,Cottonseed,7605
Afghanistan,AFG,1999,Coconut (copra),NA
Afghanistan,AFG,1999,"Olive, virgin",73
Afghanistan,AFG,1999,Safflower,NA
Afghanistan,AFG,1999,Sunflower,3967
Afghanistan,AFG,1999,Maize,NA
Afghanistan,AFG,1999,Palm kernel,NA
Afghanistan,AFG,2000,Soybean,NA
Afghanistan,AFG,2000,Sesame,4104
Afghanistan,AFG,2000,Linseed,3494
Afghanistan,AFG,2000,Palm,NA
Afghanistan,AFG,2000,Rapeseed,NA
Afghanistan,AFG,2000,Groundnut,NA
Afghanistan,AFG,2000,Cottonseed,6345
Afghanistan,AFG,2000,Coconut (copra),NA
Afghanistan,AFG,2000,"Olive, virgin",90
Afghanistan,AFG,2000,Safflower,NA
Afghanistan,AFG,2000,Sunflower,3438
Afghanistan,AFG,2000,Maize,NA
Afghanistan,AFG,2000,Palm kernel,NA
Afghanistan,AFG,2001,Soybean,NA
Afghanistan,AFG,2001,Sesame,4114
Afghanistan,AFG,2001,Linseed,3505
Afghanistan,AFG,2001,Palm,NA
Afghanistan,AFG,2001,Rapeseed,NA
Afghanistan,AFG,2001,Groundnut,NA
Afghanistan,AFG,2001,Cottonseed,6345
Afghanistan,AFG,2001,Coconut (copra),NA
Afghanistan,AFG,2001,"Olive, virgin",73
Afghanistan,AFG,2001,Safflower,NA
Afghanistan,AFG,2001,Sunflower,3409
Afghanistan,AFG,2001,Maize,NA
Afghanistan,AFG,2001,Palm kernel,NA
Afghanistan,AFG,2002,Soybean,NA
Afghanistan,AFG,2002,Sesame,3860
Afghanistan,AFG,2002,Linseed,3546
Afghanistan,AFG,2002,Palm,NA
Afghanistan,AFG,2002,Rapeseed,NA
Afghanistan,AFG,2002,Groundnut,NA
Afghanistan,AFG,2002,Cottonseed,6471
Afghanistan,AFG,2002,Coconut (copra),NA
Afghanistan,AFG,2002,"Olive, virgin",90
Afghanistan,AFG,2002,Safflower,NA
Afghanistan,AFG,2002,Sunflower,3399
Afghanistan,AFG,2002,Maize,NA
Afghanistan,AFG,2002,Palm kernel,NA
Afghanistan,AFG,2003,Soybean,NA
Afghanistan,AFG,2003,Sesame,3850
Afghanistan,AFG,2003,Linseed,3826
Afghanistan,AFG,2003,Palm,NA
Afghanistan,AFG,2003,Rapeseed,NA
Afghanistan,AFG,2003,Groundnut,NA
Afghanistan,AFG,2003,Cottonseed,3700
Afghanistan,AFG,2003,Coconut (copra),NA
Afghanistan,AFG,2003,"Olive, virgin",196
Afghanistan,AFG,2003,Safflower,NA
Afghanistan,AFG,2003,Sunflower,3626
Afghanistan,AFG,2003,Maize,NA
Afghanistan,AFG,2003,Palm kernel,NA
Afghanistan,AFG,2004,Soybean,NA
Afghanistan,AFG,2004,Sesame,906
Afghanistan,AFG,2004,Linseed,2568
Afghanistan,AFG,2004,Palm,NA
Afghanistan,AFG,2004,Rapeseed,NA
Afghanistan,AFG,2004,Groundnut,NA
Afghanistan,AFG,2004,Cottonseed,3087
Afghanistan,AFG,2004,Coconut (copra),NA
Afghanistan,AFG,2004,"Olive, virgin",208
Afghanistan,AFG,2004,Safflower,NA
Afghanistan,AFG,2004,Sunflower,3646
Afghanistan,AFG,2004,Maize,NA
Afghanistan,AFG,2004,Palm kernel,NA
Afghanistan,AFG,2005,Soybean,NA
Afghanistan,AFG,2005,Sesame,854
Afghanistan,AFG,2005,Linseed,3272
Afghanistan,AFG,2005,Palm,NA
Afghanistan,AFG,2005,Rapeseed,NA
Afghanistan,AFG,2005,Groundnut,NA
Afghanistan,AFG,2005,Cottonseed,3660
Afghanistan,AFG,2005,Coconut (copra),NA
Afghanistan,AFG,2005,"Olive, virgin",221
Afghanistan,AFG,2005,Safflower,NA
