0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4,state
64.6,d_20001201,27.6,10,0.7,0,0,0,7.8,2.7,0,0,0,kentucky
46.5,d_20010101,51.9,33.1,6.2,1.6,0,0,1.6,0,0,0,0,kentucky
49.8,d_20010201,47.9,32.2,7,1.4,0,0,2.3,0.1,0,0,0,kentucky
23.9,d_20010301,76.1,53.3,14.2,1.5,0,0,0,0,0,0,0,kentucky
0.3,d_20010401,99.7,92.1,50.2,15.4,0.3,0,0,0,0,0,0,kentucky
0.7,d_20010501,99.3,91.8,43.9,12.7,0,0,0,0,0,0,0,kentucky
0.4,d_20010601,99.6,96.7,57.7,18.3,0.2,0,0,0,0,0,0,kentucky
32.1,d_20010701,67.8,38,4.1,0.2,0,0,0,0,0,0,0,kentucky
38.9,d_20010801,60.1,36,2.8,0.6,0,0,1,0,0,0,0,kentucky
34.7,d_20010901,65,41.8,8.4,0.5,0,0,0.3,0,0,0,0,kentucky
63.7,d_20011001,25.4,7.5,0,0,0,0,10.9,3.1,0,0,0,kentucky
42.8,d_20011101,34,22.6,5.3,1.2,0,0,23.2,9.4,0.1,0,0,kentucky
35.5,d_20011201,24.7,11.9,0.5,0,0,0,39.8,29.6,12.2,2,0,kentucky
45.4,d_20020101,6.4,1,0,0,0,0,48.3,38.5,21,6.9,0.8,kentucky
33.4,d_20020201,28.9,14.7,2.7,0.1,0,0,37.8,30,17.6,7.9,1.3,kentucky
44.7,d_20020301,6.3,0.3,0,0,0,0,48.9,38.9,24.9,17.3,4.9,kentucky
32.4,d_20020401,22.4,6.8,0,0,0,0,45,35.3,24.7,17.1,6.5,kentucky
43.6,d_20020501,8.8,1,0,0,0,0,47.7,41.2,30.8,22.8,15.3,kentucky
42.7,d_20020601,6.1,2.7,0,0,0,0,51.1,44.7,28,20.9,9.7,kentucky
56.5,d_20020701,6.9,2.9,0.7,0,0,0,36.5,25.3,10.7,4.9,0.7,kentucky
64.3,d_20020801,12,3.9,0.6,0,0,0,23.8,11,2.2,0.9,0.1,kentucky
46.4,d_20020901,3.2,0.9,0,0,0,0,50.4,26.4,3.9,0.5,0,kentucky
13.8,d_20021001,2.3,1.1,0,0,0,0,84,66.8,25.7,9.6,0.8,kentucky
6.6,d_20021101,0,0,0,0,0,0,93.5,81.3,47.5,24.9,4,kentucky
15.8,d_20021201,0.1,0,0,0,0,0,84.2,61.8,19,2.8,0,kentucky
49.7,d_20030101,0.9,0,0,0,0,0,49.4,23,1.4,0,0,kentucky
29.4,d_20030201,0,0,0,0,0,0,70.7,46.2,6.7,0.2,0,kentucky
61.3,d_20030301,1.6,0,0,0,0,0,37.1,18.3,0,0,0,kentucky
23.5,d_20030401,0.2,0,0,0,0,0,76.3,38.2,8.8,0.2,0,kentucky
1.2,d_20030501,0,0,0,0,0,0,98.8,90.4,46.7,15.7,1.2,kentucky
5.8,d_20030601,0,0,0,0,0,0,94.2,78.8,30.2,14.4,3.6,kentucky
24.6,d_20030701,0,0,0,0,0,0,75.5,42.6,12.3,4.3,1.1,kentucky
9.3,d_20030801,0,0,0,0,0,0,90.8,71.6,22.4,7.5,1.4,kentucky
2,d_20030901,0,0,0,0,0,0,98,89.4,43.7,17.4,3.9,kentucky
0.6,d_20031001,0,0,0,0,0,0,99.3,97.7,73.1,41.2,13.7,kentucky
1.5,d_20031101,0,0,0,0,0,0,98.5,92.2,48.2,28,9.3,kentucky
1.2,d_20031201,0,0,0,0,0,0,98.7,96,63,42.1,17.3,kentucky
4.5,d_20040101,0,0,0,0,0,0,95.5,82,47,31.1,8.8,kentucky
22.2,d_20040201,0.4,0,0,0,0,0,77.5,59.3,22.6,7.6,1.6,kentucky
45.8,d_20040301,1.7,0.1,0,0,0,0,52.6,27.9,3.3,0,0,kentucky
33.9,d_20040401,1.9,0.5,0,0,0,0,64.2,26.8,1.4,0,0,kentucky
17.8,d_20040501,0,0,0,0,0,0,82.1,69.7,22.6,4.1,0,kentucky
41,d_20040601,1.4,0,0,0,0,0,57.5,31.9,5.1,1.3,0,kentucky
27.5,d_20040701,0.6,0,0,0,0,0,71.8,50.5,9.1,1.8,0,kentucky
37.9,d_20040801,4.3,0.7,0,0,0,0,57.9,27.2,2,0,0,kentucky
27.8,d_20040901,8.4,3.3,0,0,0,0,63.7,49.6,21.3,10.4,1.6,kentucky
19.7,d_20041001,3.4,0.4,0,0,0,0,76.9,64.5,41.2,25.5,11.7,kentucky
7,d_20041101,0,0,0,0,0,0,93.1,89.5,61.1,38.6,21.5,kentucky
7.3,d_20041201,0,0,0,0,0,0,92.6,89.8,70.9,47.8,22.3,kentucky
3.7,d_20050101,0,0,0,0,0,0,96.4,88.8,69.2,46.8,24.4,kentucky
20.8,d_20050201,0,0,0,0,0,0,79.1,61,29.9,15.6,0.1,kentucky
27.6,d_20050301,0,0,0,0,0,0,72.4,47.9,21.5,5,0,kentucky
31.8,d_20050401,0.6,0,0,0,0,0,67.7,50,20.9,9.9,2,kentucky
45,d_20050501,4,1.2,0,0,0,0,51,34.8,9.3,1.5,0,kentucky
85.7,d_20050601,1.1,0,0,0,0,0,13.3,4.6,0,0,0,kentucky
79.8,d_20050701,18.3,2.5,0.2,0,0,0,1.9,0,0,0,0,kentucky
67.6,d_20050801,21.2,6.9,0.2,0,0,0,11.1,2.2,0,0,0,kentucky
43.9,d_20050901,53.2,36.4,10.2,2.2,0.1,0,2.9,0.2,0,0,0,kentucky
20,d_20051001,80.1,60.9,31,16.8,2.9,0,0,0,0,0,0,kentucky
26.4,d_20051101,73.6,56.2,25.4,13.1,3.6,0,0,0,0,0,0,kentucky
17.4,d_20051201,82.6,63.9,25.6,11.3,0.6,0,0,0,0,0,0,kentucky
29.4,d_20060101,70.6,56.9,25,6.3,0.1,0,0,0,0,0,0,kentucky
30.6,d_20060201,69.2,56.4,25.2,3.8,0,0,0.2,0,0,0,0,kentucky
29.8,d_20060301,66.6,51.1,22.2,2.6,0,0,3.6,0.6,0,0,0,kentucky
36.7,d_20060401,58.5,42.1,11.8,0.3,0,0,4.8,0.7,0,0,0,kentucky
15.2,d_20060501,84.7,73.1,32.6,13.2,1.9,0,0.1,0,0,0,0,kentucky
27.4,d_20060601,71.8,49.9,15.7,6,0,0,0.8,0,0,0,0,kentucky
32.2,d_20060701,60.6,37.1,5.5,0.5,0,0,7.1,3.3,0,0,0,kentucky
45.8,d_20060801,41.6,20.1,2.3,0.3,0,0,12.7,5.9,0.3,0,0,kentucky
40.5,d_20060901,2.3,0.5,0,0,0,0,57.2,40,20.9,13,5.2,kentucky
29.3,d_20061001,2.4,0.9,0.1,0,0,0,68.3,52.8,26.7,16,7,kentucky
23.2,d_20061101,1.1,0.3,0,0,0,0,75.8,59.4,29.2,19.1,8.8,kentucky
23.3,d_20061201,0.7,0,0,0,0,0,76,58.4,28.5,16.6,4.9,kentucky
28.3,d_20070101,2.4,0.7,0,0,0,0,69.3,50.5,29.3,19.3,8,kentucky
27.3,d_20070201,7.6,2.1,0.1,0,0,0,65.1,47.7,25.7,17.5,7.2,kentucky
39.6,d_20070301,11.5,4.9,0.5,0,0,0,48.9,33.8,17.1,8.6,2,kentucky
39.2,d_20070401,8.1,1.9,0.1,0,0,0,52.8,31.5,11.4,2.8,0.1,kentucky
54.2,d_20070501,22.2,13.9,2.2,0.3,0,0,23.6,12.6,1.5,0.1,0,kentucky
21.7,d_20070601,77.9,64.7,33.7,17,6.8,0,0.3,0,0,0,0,kentucky
10.4,d_20070701,89.6,81.2,64.3,43.2,11.5,0,0,0,0,0,0,kentucky
1.8,d_20070801,98.2,92.6,72.8,60.9,40.6,0,0,0,0,0,0,kentucky
0.6,d_20070901,99.5,96.4,77.3,60.9,40.3,0,0,0,0,0,0,kentucky
11.7,d_20071001,88.2,75.5,52.8,35.9,20.2,0,0,0,0,0,0,kentucky
13.2,d_20071101,86.8,73.5,41.4,20.7,6.3,0,0,0,0,0,0,kentucky
52.9,d_20071201,36.4,23.7,10.2,5.1,0,0,10.7,1.7,0,0,0,kentucky
50.1,d_20080101,40,26.7,14.1,8.4,3.5,0,9.9,2.1,0,0,0,kentucky
39.8,d_20080201,24.2,18.5,9.3,5.4,0.1,0,36,21.4,3.9,0,0,kentucky
19.6,d_20080301,17.9,12.9,3.6,0.3,0,0,62.4,47.3,25.1,11.3,1.3,kentucky
15.7,d_20080401,17,12.6,5.6,3.1,0,0,67.5,59,39.6,21.1,7.1,kentucky
13.8,d_20080501,12,7.1,2.3,0,0,0,74.3,69.3,53.1,41.7,22.8,kentucky
15.7,d_20080601,10.7,6.7,2.5,1,0,0,73.7,68.6,55,40.7,23.7,kentucky
20.8,d_20080701,11.5,6.7,2.1,1.2,0.1,0,67.7,58.2,35.3,21,4.8,kentucky
20.9,d_20080801,19.7,13.8,3.1,1.3,0,0,59.5,49.6,29.4,14.7,3.6,kentucky
39,d_20080901,35.5,27.6,16.9,6.5,0,0,25.5,13.5,1.8,0.7,0,kentucky
37.3,d_20081001,33.1,28.1,17,7.6,0,0,29.5,17.5,2.5,0.7,0,kentucky
44.7,d_20081101,45.8,34.6,21.4,7.4,0,0,9.6,2.5,0,0,0,kentucky
51.9,d_20081201,47.8,23.4,0.5,0,0,0,0.4,0,0,0,0,kentucky
48,d_20090101,52,21.3,0.7,0,0,0,0,0,0,0,0,kentucky
