id	title	author	year	total_weeks	first_week	debut_rank	best_rank
5409	THE HOPE	Herman Wouk	1993	9	1993-12-12	10	5
541	ATLANTIS FOUND	Clive Cussler	1999	11	1999-12-26	9	4
5410	THE HORNET'S NEST	Jimmy Carter	2003	6	2003-12-07	4	6
5411	THE HORSE KNOWS THE WAY	John O'Hara	1964	11	1964-12-20	6	4
5412	THE HORSE SOLDIERS	Harold Sinclair	1956	2	1956-04-01	15	14
5413	THE HORSE WHISPERER	Nicholas Evans	1995	37	1995-09-24	12	1
5414	THE HORSE'S MOUTH	Joyce Cary	1950	19	1950-02-12	5	4
5415	THE HOST	Stephenie Meyer	2008	59	2008-05-25	15	1
5416	THE HOSTAGE	W. E. B. Griffin	2006	7	2006-01-22	13	1
5417	THE HOT KID	Elmore Leonard	2005	2	2005-05-29	2	14
5418	THE HOTEL NEW HAMPSHIRE	John Irving	1981	40	1981-09-20	1	1
5419	THE HOUR BEFORE THE DAWN	W. Somerset Maugham	1942	4	1942-06-29	5	3
542	ATLAS SHRUGGED	Ayn Rand	1957	22	1957-10-13	14	3
5420	THE HOUR I FIRST BELIEVED	Wally Lamb	2008	12	2008-11-30	12	4
5421	THE HOUR OF TRUTH	David Davidson	1949	1	1949-02-20	1	16
5422	THE HOURGLASS	Edwin Gilbert	1959	9	1959-04-26	1	11
5423	THE HOURS	Michael Cunningham	1999	3	1999-05-02	7	8
5424	THE HOUSE	Danielle Steel	2006	7	2006-03-19	14	1
5425	THE HOUSE AT OLD VINE	Norah Lofts	1961	6	1961-10-01	16	12
5426	THE HOUSE AT SUNSET	Norah Lofts	1962	1	1962-11-25	1	16
5427	THE HOUSE I LOVED	Tatiana de Rosnay	2012	2	2012-03-04	10	12
5428	THE HOUSE IN PARIS	Elizabeth Bowen	1936	3	1936-03-16	6	5
5429	THE HOUSE OF A THOUSAND LANTERNS	Victoria Holt	1974	10	1974-08-18	9	5
543	ATONEMENT	Ian McEwan	2002	14	2002-03-31	14	4
5430	THE HOUSE OF FIVE TALENTS	Louis Auchincloss	1960	12	1960-10-02	11	7
5431	THE HOUSE OF SECRETS	Brad Meltzer and Tod Goldberg	2016	3	2016-06-26	6	6
5432	THE HOUSE OF THE SPIRITS	Isabel Allende	1985	1	1985-07-14	4	9
5433	THE HOUSE OF THE SPIRITS	Isabel Allende.	1985	1	1985-06-16	10	15
5434	THE HOUSE OF UNEXPECTED SISTERS	Alexander McCall Smith	2017	1	2017-11-26	6	8
5435	THE HOUSE ON HOPE STREET	Danielle Steel	2000	11	2000-07-16	7	1
5436	THE HOUSE ON THE STRAND	Daphne du Maurier	1969	30	1969-10-12	15	2
